replicateid,beta,eir,pfprunder5,pfpr2to10,pfprall
2254,0.01,0.129594622222222,1.19152633333333,1.18683172592593,1.10156835555556
2255,0.02,0.958441029629629,7.09992177777778,6.34096288888889,5.39327548148148
2253,0.03,1.72393414814815,11.0436874074074,9.34247155555556,7.75279192592592
2263,0.04,2.51024622222222,14.49026,11.9173725925926,9.63835059259259
2275,0.05,3.32655281481481,17.6000525925926,14.2836614814815,11.2182733333333
2276,0.06,4.24113866666667,20.2516140740741,16.2270688888889,12.6249696296296
2285,0.07,5.06603859259259,22.8883577777778,18.0423881481481,13.8042651851852
2286,0.08,5.88535414814815,24.7649540740741,19.5481992592593,14.7533607407407
2256,0.09,6.86466237037037,27.247237037037,21.2744466666667,15.8165088888889
2261,0.1,7.77508333333333,29.01752,22.5224274074074,16.6164377777778
2257,0.11,8.77202007407407,31.0486311111111,24.0107674074074,17.41554
2258,0.12,9.62488370370372,32.620277037037,25.1727733333333,18.0350237037037
2265,0.13,10.6347674074074,34.5782918518518,26.5264903703704,18.7638525925926
2266,0.14,11.6849244444444,36.1499911111111,27.53036,19.3295296296296
2259,0.15,12.5828955555555,37.4277518518519,28.5828214814815,19.8780777777778
2268,0.16,13.4931074074074,39.1512377777778,29.5653859259259,20.3854348148148
2269,0.17,14.3753607407407,40.2356444444445,30.2587688888889,20.7634311111111
2270,0.18,15.6202585185185,41.7936444444444,31.2653674074074,21.3138192592593
2274,0.19,16.57384,42.7745251851852,32.1812644444444,21.668622962963
2283,0.2,17.5380377777778,43.7466762962963,32.8275185185185,22.0495007407407
2295,0.21,18.6637629629629,45.0347711111111,33.66842,22.4300266666667
2296,0.22,19.6739637037037,46.2724222222222,34.3871059259259,22.7150281481481
2260,0.23,20.9470711111111,47.3544474074074,35.154437037037,23.148417037037
2271,0.24,22.0335451851852,48.5040777777778,35.9579511111111,23.4929725925926
2272,0.25,22.7152785185185,48.6208088888889,36.027237037037,23.6414125925926
2262,0.26,24.0738888888889,50.3094503703704,37.0872222222222,24.0672688888889
2267,0.27,25.1931533333333,51.8394474074074,37.9834777777778,24.4095666666667
2264,0.28,26.1187407407407,52.2946125925926,38.1735888888889,24.5831918518519
2273,0.29,27.8714444444444,53.3473970370371,39.1046977777778,24.9682177777778
2278,0.3,28.831257037037,54.4107059259259,39.6235059259259,25.1794037037037
2397,0.31,29.8350481481482,55.2557348148148,40.1210874074074,25.4134385185185
2287,0.32,31.08856,55.9459814814815,40.4899503703704,25.6491659259259
2288,0.33,31.8449696296296,56.5330259259259,40.9205362962963,25.8248340740741
2277,0.34,33.1711940740741,57.0270288888889,41.3010029629629,26.07558
2280,0.35,34.4936807407407,58.1068340740741,42.0961222222222,26.3126296296296
2292,0.36,36.039665925926,58.7985888888889,42.6441266666667,26.6383607407407
