replicateid,dayselapsed,beta,eir,pfprunder5,pfpr2to10,pfprall
2454,6787,0.01,0.404835,2.23304,1.93798,1.71551
2454,6818,0.01,0.404835,2.61899,2.33976,2.00749
2454,6848,0.01,0.404835,3.16275,2.83738,2.56778
2454,6879,0.01,0.404835,3.83488,3.67268,3.36777
2454,6909,0.01,0.404835,4.53479,4.34452,4.055
2454,6940,0.01,0.404835,4.55417,4.25719,4.15219
2454,6971,0.01,0.393107,4.15729,3.88577,3.59239
2454,6999,0.01,0.393107,3.57679,3.37755,3.03174
2454,7030,0.01,0.393107,3.19699,2.89753,2.65912
2454,7060,0.01,0.393107,2.73369,2.40795,2.23047
2454,7091,0.01,0.393107,2.29465,2.07384,1.94257
2454,7121,0.01,0.393107,1.95526,1.76738,1.73652
2454,7152,0.01,0.393107,1.92117,1.89966,1.71913
2454,7183,0.01,0.393107,2.32847,2.28119,2.05274
2454,7213,0.01,0.393107,2.95188,2.70176,2.50091
2454,7244,0.01,0.393107,4.08953,3.80403,3.38499
2454,7274,0.01,0.393107,4.77681,4.53779,4.14609
2454,7305,0.01,0.393107,5.34005,4.84068,4.32186
2454,7336,0.01,0.386446,4.64159,4.07261,3.67538
2454,7364,0.01,0.386446,4.07392,3.69961,3.18208
2454,7395,0.01,0.386446,3.40928,3.1319,2.7003
2454,7425,0.01,0.386446,2.95276,2.95398,2.41449
2454,7456,0.01,0.386446,2.46974,2.58905,2.09053
2454,7486,0.01,0.386446,2.15845,2.072,1.83334
2454,7517,0.01,0.386446,2.11222,2.01571,1.74086
2454,7548,0.01,0.386446,2.43446,2.1709,2.01763
2454,7578,0.01,0.386446,3.21977,2.94202,2.66313
2454,7609,0.01,0.386446,3.93066,3.84505,3.45059
2454,7639,0.01,0.386446,4.91817,4.746,4.10479
2454,7670,0.01,0.386446,5.16834,4.97012,4.17718
2454,7701,0.01,0.39392,4.63733,4.25459,3.64153
2454,7729,0.01,0.39392,4.15751,3.54911,3.12156
2454,7760,0.01,0.39392,3.5092,3.1492,2.67638
2454,7790,0.01,0.39392,2.67697,2.55441,2.37638
2454,7821,0.01,0.39392,2.41306,2.40495,2.14494
2454,7851,0.01,0.39392,2.17638,2.0595,1.87201
2454,7882,0.01,0.39392,2.03202,1.93176,1.75459
2454,7913,0.01,0.39392,2.32256,2.26247,2.06335
2454,7943,0.01,0.39392,3.11663,2.93095,2.64065
2454,7974,0.01,0.39392,4.22009,3.8105,3.58703
2454,8004,0.01,0.39392,5.12966,4.96696,4.31226
2454,8035,0.01,0.39392,5.3015,5.06098,4.45331
2454,8066,0.01,0.401866,4.52448,4.2814,3.73261
2455,3987,0.02,1.44995,13.6476,12.0423,10.805
2455,4018,0.02,1.44995,13.898,12.4188,10.7926
2455,4049,0.02,1.40943,12.3656,11.0499,9.1523
2455,4077,0.02,1.40943,10.228,8.68568,7.66126
2455,4108,0.02,1.40943,9.09091,7.25395,6.5242
2455,4138,0.02,1.40943,7.91712,6.24348,5.64785
2455,4169,0.02,1.40943,7.106,5.616,4.85419
2455,4199,0.02,1.40943,6.30435,5.1157,4.26642
2455,4230,0.02,1.40943,6.22906,4.97148,4.10032
2455,4261,0.02,1.40943,7.16545,5.99559,5.04449
2455,4291,0.02,1.40943,9.33972,8.10286,6.95352
2455,4322,0.02,1.40943,11.4957,10.119,9.01509
2455,4352,0.02,1.40943,13.9339,12.2475,10.9529
2455,4383,0.02,1.40943,14.688,12.8538,10.9521
2455,4414,0.02,1.4739,12.3954,10.754,9.18995
2455,4442,0.02,1.4739,10.1117,8.99522,7.64266
2455,4473,0.02,1.4739,8.68855,7.60407,6.36506
2455,4503,0.02,1.4739,7.82837,6.46076,5.38111
2455,4534,0.02,1.4739,7.01707,5.60892,4.66172
2455,4564,0.02,1.4739,6.37122,5.16931,4.05729
2455,4595,0.02,1.4739,5.70421,4.76528,3.88078
2455,4626,0.02,1.4739,6.39451,5.64594,4.65632
2455,4656,0.02,1.4739,8.41772,7.37052,6.45319
2455,4687,0.02,1.4739,11.0377,9.75735,8.80613
2455,4717,0.02,1.4739,13.5028,12.0755,10.6194
2455,4748,0.02,1.4739,14.083,12.6803,10.7303
2455,4779,0.02,1.41432,12.1056,10.8051,8.94551
2455,4807,0.02,1.41432,10.0154,8.897,7.50649
2455,4838,0.02,1.41432,8.47289,7.64107,6.19427
2455,4868,0.02,1.41432,7.74737,6.44934,5.28943
2455,4899,0.02,1.41432,6.89624,5.61769,4.59713
2455,4929,0.02,1.41432,5.92793,4.96169,4.06997
2455,4960,0.02,1.41432,5.528,4.78192,3.96384
2455,4991,0.02,1.41432,6.24775,5.48478,4.76367
2455,5021,0.02,1.41432,8.21918,7.22261,6.55184
2455,5052,0.02,1.41432,11.0711,9.857,8.90388
2455,5082,0.02,1.41432,13.8164,12.1765,10.8572
2455,5113,0.02,1.41432,14.7523,12.9028,11.0764
2455,5144,0.02,1.423,13.0384,10.9333,9.39528
2455,5173,0.02,1.423,10.9004,9.39512,7.83571
2455,5204,0.02,1.423,9.18045,7.93207,6.44821
2455,5234,0.02,1.423,7.9408,6.64082,5.49249
2455,5265,0.02,1.423,6.70863,5.43665,4.60872
2455,5295,0.02,1.423,6.31125,5.22345,4.06585
2455,5326,0.02,1.423,6.18834,5.04175,4.05656
2455,5357,0.02,1.423,6.95341,5.76741,5.0369
2455,5387,0.02,1.423,9.0044,7.95835,6.84603
2455,5418,0.02,1.423,11.7209,10.6958,9.18645
2455,5448,0.02,1.423,13.7761,12.5024,10.9182
2455,5479,0.02,1.423,13.8456,11.9484,10.8405
2455,5510,0.02,1.45599,12.0813,10.2647,9.04349
2455,5538,0.02,1.45599,10.564,8.75245,7.57202
2455,5569,0.02,1.45599,9.21535,7.7515,6.32893
2455,5599,0.02,1.45599,8.05861,6.63133,5.40061
2455,5630,0.02,1.45599,6.94643,5.80495,4.71988
2455,5660,0.02,1.45599,6.25167,5.0324,4.21282
2455,5691,0.02,1.45599,6.16126,5.11771,4.09859
2455,5722,0.02,1.45599,6.88454,5.93119,4.83858
2455,5752,0.02,1.45599,8.80542,7.67926,6.46056
2455,5783,0.02,1.45599,11.501,10.0163,8.75864
2455,5813,0.02,1.45599,13.67,12.4819,10.5977
2455,5844,0.02,1.45599,13.8837,12.5172,10.7223
2455,5875,0.02,1.41579,12.3967,10.823,9.08006
2455,5903,0.02,1.41579,11.0066,9.09774,7.54911
2455,5934,0.02,1.41579,9.32091,7.55567,6.25432
2455,5964,0.02,1.41579,7.97981,6.83691,5.3885
2455,5995,0.02,1.41579,7.10619,5.76347,4.71674
2455,6025,0.02,1.41579,6.20196,4.93274,4.15489
2455,6056,0.02,1.41579,5.88131,4.79627,4.02046
2455,6087,0.02,1.41579,6.92179,5.72723,4.87945
2455,6117,0.02,1.41579,9.2547,7.66652,6.56655
2455,6148,0.02,1.41579,11.8004,9.98635,8.95921
2455,6178,0.02,1.41579,14.1264,12.3906,10.8584
2455,6209,0.02,1.41579,14.7586,12.628,11.0086
2455,6240,0.02,1.41854,13.0207,10.8919,9.23383
2455,6268,0.02,1.41854,11.037,9.13599,7.79419
2455,6299,0.02,1.41854,9.53342,7.99455,6.55812
2455,6329,0.02,1.41854,8.63038,7.17025,5.6268
2455,6360,0.02,1.41854,7.67207,6.33271,4.84031
2455,6390,0.02,1.41854,7.21478,5.91215,4.40751
2455,6421,0.02,1.41854,6.55609,5.44344,4.22456
2455,6452,0.02,1.41854,7.45854,6.23111,5.1488
2455,6482,0.02,1.41854,9.3509,8.25784,6.77193
2455,6513,0.02,1.41854,12.4221,10.6933,9.07349
2455,6543,0.02,1.41854,14.0504,12.4013,10.8043
2455,6574,0.02,1.41854,14.9202,13.2223,10.878
2455,6605,0.02,1.45205,13.204,11.2662,9.11625
2455,6634,0.02,1.45205,11.1475,9.20317,7.58954
2455,6665,0.02,1.45205,9.67381,7.85132,6.39658
2455,6695,0.02,1.45205,7.99897,6.62787,5.4425
2455,6726,0.02,1.45205,6.89685,5.67987,4.5389
2455,6756,0.02,1.45205,6.10196,5.05981,3.97317
2455,6787,0.02,1.45205,5.75817,4.93095,3.89105
2455,6818,0.02,1.45205,6.89153,5.93836,4.81808
2455,6848,0.02,1.45205,8.90464,7.69371,6.40159
2455,6879,0.02,1.45205,11.586,9.90425,8.70523
2455,6909,0.02,1.45205,13.9553,12.097,10.4456
2455,6940,0.02,1.45205,14.2014,12.5061,10.578
2455,6971,0.02,1.39547,12.5405,10.6218,8.99519
2455,6999,0.02,1.39547,10.9164,9.00561,7.52829
2455,7030,0.02,1.39547,9.17431,7.47105,6.33487
2455,7060,0.02,1.39547,7.66559,6.32426,5.25483
2455,7091,0.02,1.39547,6.9068,5.77707,4.57465
